Transaction_ID,Transactions
Trans_1,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_2,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
Trans_3,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans_4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Trans_5,"Android Programming: The Big Nerd Ranch, Beginning Programming with Java, Java 8 Pocket Guide"
Trans_6,"A Beginner’s Guide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans_7,"A Beginner’s Guide, Head First Java 2nd Edition, Beginning Programming with Java"
Trans_8,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_9,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Trans_10,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
Trans_11,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_12,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, HTML and CSS: Design and Build Websites"
Trans_13,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
Trans_14,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans_15,"Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_16,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_17,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Trans_18,"Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide"
Trans_19,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Trans_20,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
