Transaction_ID,Transactions
Trans_1,"Decorative Pillows, Quilts, Embroidered Bedspread"
Trans_2,"Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections, Bed Skirts, Bedspreads, Sheets"
Trans_3,"Decorative Pillows, Quilts, Embroidered Bedspread, Shams, Kids Bedding, Bedding Collections"
Trans_4,"Kids Bedding, Bedding Collections, Sheets, Bedspreads, Bed Skirts"
Trans_5,"Decorative Pillows, Kids Bedding, Bedding Collections, Sheets, Bed Skirts, Bedspreads"
Trans_6,"Bedding Collections, Bedspreads, Bed Skirts, Sheets, Shams, Kids Bedding"
Trans_7,"Decorative Pillows, Quilts"
Trans_8,"Decorative Pillows, Quilts, Embroidered Bedspread"
Trans_9,"Bedspreads, Bed Skirts, Shams, Kids Bedding, Sheets"
Trans_10,"Quilts, Embroidered Bedspread, Bedding Collections"
Trans_11,"Bedding Collections, Bedspreads, Bed Skirts, Kids Bedding, Shams, Sheets"
Trans_12,"Decorative Pillows, Quilts"
Trans_13,"Embroidered Bedspread, Shams"
Trans_14,"Sheets, Shams, Bed Skirts, Kids Bedding"
Trans_15,"Decorative Pillows, Quilts"
Trans_16,"Decorative Pillows, Kids Bedding, Bed Skirts, Shams"
Trans_17,"Decorative Pillows, Shams, Bed Skirts"
Trans_18,"Quilts, Sheets, Kids Bedding"
Trans_19,"Shams, Bed Skirts, Kids Bedding, Sheets"
Trans_20,"Decorative Pillows, Bedspreads, Shams, Sheets, Bed Skirts, Kids Bedding"
