Transaction_ID,Transactions
Trans_1,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans_2,"Running Shoe, Socks, Sweatshirts"
Trans_3,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Trans_4,"Running Shoe, Sweatshirts, Modern Pants"
Trans_5,"Running Shoe, Socks, Sweatshirts, Modern Pants, Soccer Shoe"
Trans_6,"Running Shoe, Socks, Sweatshirts"
Trans_7,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Trans_8,"Swimming Shirt, Socks, Sweatshirts"
Trans_9,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Trans_10,"Swimming Shirt, Rash Guard, Dry"
Trans_11,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Trans_12,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Hoodies, Tech Pants, Dry Fit V-Nick"
Trans_13,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Tech Pants, Dry Fit V-Nick, Hoodies"
Trans_14,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Trans_15,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Dry Fit V-Nick, Rash Guard, Tech Pants"
Trans_16,"Swimming Shirt, Soccer Shoe, Hoodies, Dry Fit V-Nick, Tech Pants, Rash Guard"
Trans_17,"Running Shoe, Socks"
Trans_18,"Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Rash Guard, Tech Pants, Dry Fit V-Nick"
Trans_19,"Running Shoe, Swimming Shirt, Rash Guard"
Trans_20,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Tech Pants, Rash Guard, Dry Fit V-Nick"
